Qualification,Experience,Rating,Place,Profile,Miscellaneous_Info,Fees
"MD - Anatomy, BAMS",10 years experience,,"Mehdipatnam, Hyderabad",Ayurveda,,300
MS - ENT,3 years experience,,"BTM Layout 2nd Stage, Bangalore",ENT Specialist,,500
"MBBS, MD - Dermatology",7 years experience,97%,"Hulimavu, Bangalore",Dermatologists,"97% 7 Feedback Hulimavu, Bangalore",300
"MBBS, DDVL, DNB - Dermatology & Venereology",18 years experience,94%,"Thiruvanmiyur, Chennai",Dermatologists,"94% 42 Feedback Thiruvanmiyur, Chennai",400
"MBBS, Diploma in Otorhinolaryngology (DLO)",22 years experience,82%,"Vikas Puri, Delhi",ENT Specialist,Reconstructive Middle Ear Surgery Congenital Ear Problem Treatment Surgery Of The Facial Nerve,500
BAMS,10 years experience,,"Dasarahalli, Bangalore",Ayurveda,Wrinkle Treatment Viral Fever Treatment Allergy Treatment,250
BDS,17 years experience,,"HSR Layout, Bangalore",Dentist,Scaling / Polishing Oral Surgery Procedures Cosmetic/ Aesthetic Dentistry,100
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",15 years experience,99%,"Chembur, Mumbai",ENT Specialist,"99% 17 Feedback Chembur, Mumbai",500
MS - ENT,28 years experience,,"Indiranagar, Bangalore",ENT Specialist,,400
"BHMS, M.D. (Psychiatry), Fellowship in Child and Adolescent Psychiatry",15 years experience,100%,"Vileparle, Mumbai",Homeopath,"100% 9 Feedback Vileparle, Mumbai",100
MD - Ayurveda Medicine,6 years experience,,"JP Nagar 5 Phase, Bangalore",Ayurveda,,200
BDS,21 years experience,100%,"Dwarka Sector 6, Delhi",Dentist,Artificial Teeth Dental Fillings Complete/Partial Dentures Fixing,300
"Post Graduate Diploma in Periodontics and Implantology, Fellowship Program in Forensic Odontology, BDS",5 years experience,,"Malleswaram, Bangalore",Dentist,Tooth Extraction Scaling / Polishing Ceramic Veneers / Crowns,150
BAMS,5 years experience,,"Mayur Vihar Ph-I, Delhi",Ayurveda,"Mayur Vihar Ph-I, Delhi ₹500 Visits Tomorrow",500
"BHMS, Post Graduate Diploma in Emergency Services (PGDEMS), CGO",11 years experience,,"Wadala, Mumbai",Homeopath,,300
"MBBS, Diploma in Otorhinolaryngology (DLO), Fellowship In Phonosurgery",23 years experience,93%,"Indiranagar, Bangalore",ENT Specialist,"93% 94 Feedback Indiranagar, Bangalore",300
"MBBS, MS - ENT",19 years experience,,"Delhi, Delhi",ENT Specialist,,400
"MBBS, DNB - Otorhinolaryngology",16 years experience,84%,"Dwarka, Delhi",ENT Specialist,"84% 16 Feedback Dwarka, Delhi",700
"MBBS, DGO",9 years experience,,"Teynampet, Chennai",General Medicine,,100
"MBBS, MD - Dermatology",15 years experience,93%,"Adyar, Chennai",Dermatologists,Laser Resurfacing Scar Treatment Laser Hair Removal - Face,500
"MA - Psychology, BHMS",6 years experience,,"Vasant Kunj, Delhi",Homeopath,Skin Allergy Treatment OCD Skin Allergies,900
BAMS,23 years experience,,"Dwarka, Delhi",Ayurveda,,100
"BDS, MDS - Periodontics",6 years experience,,"Shastri Nagar, Delhi",Dentist,Ceramic Veneers / Crowns Tooth Extraction Scaling / Polishing,200
"BHMS, MA - Psychology, MD - Homeopathy",29 years experience,,"Kachiguda, Hyderabad",Homeopath,,100
BDS,12 years experience,,"Frazer Town, Bangalore",Dentist,Tooth Extraction Crowns and Bridges Fixing Dental Fillings,250
MBBS,40 years experience,88%,"Pallikaranai, Chennai",General Medicine,Chickenpox Treatment Obsessive Compulsive Disorder (OCD) Treatment Neck Pain Treatment,350
BHMS,5 years experience,,"Mayur Vihar Ph-I, Delhi",Homeopath,,300
"BDS, MDS",20 years experience,,"Pollachi, Coimbatore",Dentist,,200
"MBBS, MD - General Medicine",19 years experience,,"Venkitapuram, Coimbatore",General Medicine,,250
"MBBS, MD - Dermatology",20 years experience,,"Mulund West, Mumbai",Dermatologists,Laser Resurfacing Blepharoplasty Dermabrasion,100
BHMS,14 years experience,,"Andheri East, Mumbai",Homeopath,,100
"MBBS, MD - General Medicine, DNB - General Medicine",13 years experience,,"Mulund, Mumbai",General Medicine,,600
MBBS,26 years experience,,"Chandivali, Mumbai",General Medicine,,400
MBBS,27 years experience,,"JP Nagar 6 Phase, Bangalore",General Medicine,,150
"MBBS, DDV",22 years experience,97%,"Banjara Hills, Hyderabad",Dermatologists,"97% 8 Feedback Banjara Hills, Hyderabad",500
"MBBS, MD - Medicine",25 years experience,,"Karol Bagh, Delhi",General Medicine,"1 Feedback Karol Bagh, Delhi ₹500",500
"MBBS, MD - Dermatology",28 years experience,95%,"Indiranagar, Bangalore",Dermatologists,"95% 332 Feedback Indiranagar, Bangalore",700
BDS,9 years experience,100%,"Kandivali East, Mumbai",Dentist,Dental Surgery Dental Implant Fixing Crowns and Bridges Fixing,100
"BDS, MDS - Prosthodontics",10 years experience,,"Jubilee Hills, Hyderabad",Dentist,Zirconia Crowns Scaling / Polishing Mouth Guard,250
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",39 years experience,,"Keshav Puram, Delhi",ENT Specialist,,500
"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",12 years experience,97%,"Kuniamuthur, Coimbatore",Dentist,"97% 18 Feedback Kuniamuthur, Coimbatore",100
DHMS (Diploma in Homeopathic Medicine and Surgery),36 years experience,,"Nangloi, Delhi",Homeopath,,300
"BDS, Certificate in Dental Implants",41 years experience,97%,"Powai, Mumbai",Dentist,Crowns and Bridges Fixing Gum Disease Treatment/ Surgery Dental Implant Fixing,200
"MBBS, DNB - Internal Medicine, Post Graduate Course in Rheumatology",20 years experience,97%,"JP Nagar 2 Phase, Bangalore",General Medicine,"97% 33 Feedback JP Nagar 2 Phase, Bangalore",350
BHMS,22 years experience,,"CV Raman Nagar, Bangalore",Homeopath,,500
"BDS, MDS - Prosthodontics",15 years experience,99%,"Kondapur, Hyderabad",Dentist,Artificial Teeth Acrylic Partial Denture Crowns and Bridges Fixing,300
"MS - ENT, MBBS",6 years experience,,"Erragadda, Hyderabad",ENT Specialist,,500
"Fellowship in Oral implantlogy, MDS - Oral & Maxillofacial Surgery, BDS",12 years experience,100%,"Ambalamukku, Thiruvananthapuram",Dentist,"100% 6 Feedback Ambalamukku, Thiruvananthapuram",250
"MBBS, MD - Dermatology",26 years experience,,"Pitampura, Delhi",Dermatologists,,400
"MBBS, MD - Dermatology, MD - Venereology",48 years experience,,"Shalimar Bagh, Delhi",Dermatologists,Liposuction Botox Injections Thread Lift,100
"MD - Homeopathy, LCEH",34 years experience,,"Andheri West, Mumbai",Homeopath,,800
BAMS,37 years experience,,"Bandra East, Mumbai",Ayurveda,,40
BHMS,15 years experience,,"Madhapur, Hyderabad",Homeopath,,700
BAMS,4 years experience,,"Jubilee Hills, Hyderabad",Ayurveda,"Jubilee Hills, Hyderabad ₹200 Available Today",200
MBBS,42 years experience,,"Vadavalli, Coimbatore",General Medicine,,100
"MDS - Oral & Maxillofacial Surgery, BDS",25 years experience,95%,"Besant Nagar, Chennai",Dentist,Dental Implant Fixing Cosmetic/ Aesthetic Dentistry Laser Gum Surgery,200
"MBBS, MS - ENT",16 years experience,,"Byculla, Mumbai",ENT Specialist,,300
BDS,8 years experience,100%,"Rohini, Delhi",Dentist,"100% 8 Feedback Rohini, Delhi",200
"MD - Dermatology , Venereology & Leprosy, MBBS",5 years experience,100%,"Indiranagar, Bangalore",Dermatologists,"100% 53 Feedback Indiranagar, Bangalore",500
"MBBS, DDVL",6 years experience,100%,"Parel, Mumbai",Dermatologists,"100% 47 Feedback Parel, Mumbai",500
"MBBS, MS - General Surgery, MD - Medicine",23 years experience,,"Parel, Mumbai",General Medicine,,500
"BDS, MDS - Oral Medicine and Radiology",11 years experience,83%,"Alwal, Hyderabad",Dentist,Bleaching(Tooth Whitening) Dental Braces Fixing RCT - Root Canal Treatment,200
"BAMS, D.Y.A, Post Graduate Diploma in Emergency Services (PGDEMS), MD - Ayurveda Medicine",12 years experience,100%,"Dadar West, Mumbai",Ayurveda,"100% 7 Feedback Dadar West, Mumbai",500
"MBBS, Diploma in Dermatology, MS - General Surgery, DDV, MAMS",30 years experience,,"Adyar, Chennai",Dermatologists,,500
BHMS,22 years experience,97%,"Indiranagar, Bangalore",Homeopath,"97% 97 Feedback Indiranagar, Bangalore",300
"MD - Dermatology, DDV",33 years experience,84%,"Kandivali West, Mumbai",Dermatologists,,800
"MBBS, MS - ENT",7 years experience,,"Punjagutta, Hyderabad",ENT Specialist,,300
BHMS,37 years experience,,"TV Chalai, Thiruvananthapuram",Homeopath,,150
BHMS,18 years experience,,"Hari Nagar, Delhi",Homeopath,,350
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",50 years experience,,"Triplicane, Chennai",ENT Specialist,,200
"MBBS, MD - General Medicine",37 years experience,71%,"Safdarjung Enclave, Delhi",General Medicine,"71% 2 Feedback Safdarjung Enclave, Delhi",100
"BHMS, MD - Repertory",11 years experience,,"Serilingampally, Hyderabad",Homeopath,Diet Counseling Skin Disease Treatment Weight Loss Diet Counseling,150
BDS,8 years experience,96%,"Koramangala, Bangalore",Dentist,Impaction / Impacted Tooth Extraction BPS Dentures Fixing Acrylic Partial Denture,200
"BDS, MDS - Oral & Maxillofacial Surgery",15 years experience,97%,"Hauz Khas, Delhi",Dentist,Acrylic Partial Denture Crowns and Bridges Fixing Artificial Teeth,500
"MBBS, DNB - Obstetrics & Gynecology",18 years experience,100%,"Medavakkam, Chennai",General Medicine,Growth Scan Diseases in Pregnancy Pregnancy with PCOD,300
"BDS, MDS-Oral Pathology and Oral Microbiology, Fellow of Academy of General Education (FAGE), Certificate in Dental Implants",27 years experience,99%,"Mehdipatnam, Hyderabad",Dentist,Complete/Partial Dentures Fixing Cosmetic/ Aesthetic Dentistry Orthodontics Treatment/Wiring,200
"BHMS, MD - Homeopathy",14 years experience,,"Okhla, Delhi",Homeopath,,150
BDS,11 years experience,,"Dadar West, Mumbai",Dentist,"Dadar West, Mumbai Free Consultation Visits Today",100
BDS,2 years experience,100%,"RMV 2nd Stage, Bangalore",Dentist,Ceramic Veneers / Crowns Tooth Extraction Dental Fillings,100
"BDS, MDS - Orthodontics",19 years experience,98%,"Patel Nagar West, Delhi",Dentist,"98% 32 Feedback Patel Nagar West, Delhi",300
"MBBS, MD - Dermatology , Venereology & Leprosy, DNB",8 years experience,95%,"HSR Layout, Bangalore",Dermatologists,"95% 105 Feedback HSR Layout, Bangalore",350
"MBBS, MD - Dermatology",25 years experience,91%,"Pitampura, Delhi",Dermatologists,Laser Hair Removal - Face Acne / Pimples Treatment Antiacne Peels,800
"MBBS, MD - General Medicine",41 years experience,95%,"Sheikh Sarai, Delhi",General Medicine,"95% 3 Feedback Sheikh Sarai, Delhi",100
BHMS,12 years experience,,"Goregaon West, Mumbai",Homeopath,,400
"BDS, MDS - Oral & Maxillofacial Surgery",18 years experience,,"Ganapathy, Coimbatore",Dentist,,100
"MBBS, DNB",14 years experience,100%,"Ecil, Hyderabad",General Medicine,Health Checkup (General) Viral Fever Treatment Insulin Free Treatment,500
"MD - General Medicine, Postgraduate Diploma Clinical Cardiology (PGDCC), MBBS",14 years experience,,"Vadavalli, Coimbatore",General Medicine,,200
"MD - Physician, Post Graduate Diploma in Clinical Research (PGDCR)",8 years experience,,"Laxmi Nagar, Delhi",General Medicine,,50
"MBBS, DNB - Dermatology & Venereology",12 years experience,,"Karkardooma, Delhi",Dermatologists,,500
BDS,21 years experience,100%,"Santosh Nagar, Hyderabad",Dentist,Impaction / Impacted Tooth Extraction Crowns and Bridges Fixing Dental Implant Fixing,200
"BDS, MDS",22 years experience,95%,"Champapet, Hyderabad",Dentist,Dental Implant Fixing Acrylic Partial Denture Crowns and Bridges Fixing,100
"MBBS, MD - Dermatology",11 years experience,94%,"Bandra West, Mumbai",Dermatologists,"94% 28 Feedback Bandra West, Mumbai",100
"MD - Medicine, MBBS",27 years experience,77%,"Pitampura, Delhi",General Medicine,"Diabetes Management 77% Pitampura, Delhi",800
"MD - Medicine, MBBS",29 years experience,84%,"Surya Niketan, Delhi",General Medicine,"84% 6 Feedback Surya Niketan, Delhi",600
MBBS,7 years experience,,"Kovilpalayam, Coimbatore",General Medicine,,50
"BDS, Diploma in Public Health",15 years experience,,"Miyapur, Hyderabad",Dentist,Traumatic injuries Dental Laser Gingivoplasty Temporomandibular dysfunction,100
"MBBS, MS - ENT, DNB - Otorhinolaryngology",25 years experience,98%,"Rajajinagar, Bangalore",ENT Specialist,"98% 44 Feedback Rajajinagar, Bangalore",400
"Post MD SR AIIMS, MD - Dermatology, MBBS",11 years experience,96%,"Saket, Delhi",Dermatologists,"96% 185 Feedback Saket, Delhi",700
"MBBS, MS - ENT, DNB - ENT",11 years experience,,"Santacruz West, Mumbai",ENT Specialist,,600
MBBS,32 years experience,,"Kalkaji, Delhi",General Medicine,,250
BHMS,9 years experience,95%,"Attapur, Hyderabad",Homeopath,Renal calculi Pcod Thyroid Disorder Treatment,300
"DNB - Dermatology & Venereology, MBBS",7 years experience,100%,"Juhu, Mumbai",Dermatologists,Trichology Skin Boosters and Fillers Permanent Acne Solutions,500
"BDS, MDS - Oral & Maxillofacial Surgery",11 years experience,,"Mylapore, Chennai",Dentist,Oral Surgery Procedures Oral & Maxillofacial Surgery Oral Rehabilitation,500
"BAMS, Fellowship in Cardiac Rehabilitation",9 years experience,88%,"Mira Bhayandar, Mumbai",Ayurveda,"88% 3 Feedback Mira Bhayandar, Mumbai",150
BHMS,5 years experience,,"Porur, Chennai",Homeopath,Migraine Treatment Skin Disease Treatment Bronchitis Treatment,450
"MD - General Medicine, MBBS",11 years experience,,"Ghatkopar East, Mumbai",General Medicine,,500
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",17 years experience,99%,"Kalina, Mumbai",General Medicine,"99% 82 Feedback Kalina, Mumbai",750
"MD - Dermatology, MBBS",22 years experience,96%,"Malabar Hill, Mumbai",Dermatologists,Permanent Hair reduction- Diode Laser Photofacial Fractional CO2 Laser Skin Resurfacing,100
MBBS,41 years experience,,"Ramnagar, Coimbatore",General Medicine,,150
"BDS, MDS - Prosthodontics",16 years experience,98%,"Perumbakkam, Chennai",Dentist,BPS Dentures Fixing Cast Partial Denture Complete/Partial Dentures Fixing,500
"MDS - Oral & Maxillofacial Surgery, Fellow of Academy of General Education (FAGE), BDS, Certificate Course in Oral Implantology",9 years experience,100%,"Ghatkopar West, Mumbai",Dentist,Oral Surgery Procedures Wisdom Tooth Extraction Facial Trauma,500
"BDS, Post Graduate Certificate in Endodontics (PGCE)",18 years experience,96%,"Nanganallur, Chennai",Dentist,Dental Implant Fixing Orthodontic Treatment Crowns and Bridges Fixing,100
"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",10 years experience,95%,"CV Raman Nagar, Bangalore",Dermatologists,"95% 23 Feedback CV Raman Nagar, Bangalore",500
"MBBS, DVD",15 years experience,,"Mira Road, Mumbai",Dermatologists,,400
BHMS,27 years experience,98%,"Mulund West, Mumbai",Homeopath,Skin Disease Treatment Kidney Stone Treatment Gall Bladder (Biliary) Stone Treatment,900
"MDS - Paedodontics And Preventive Dentistry, BDS",4 years experience,,"Ghatkopar East, Mumbai",Dentist,Ceramic Veneers / Crowns Tooth Extraction Pulpectomy,100
"BDS, MDS - Orthodontics",19 years experience,94%,"Gachibowli, Hyderabad",Dentist,Artificial Teeth Crowns and Bridges Fixing BPS Dentures Fixing,500
BDS,3 years experience,,"Mulund East, Mumbai",Dentist,Ceramic Veneers / Crowns Tooth Extraction Dental Fillings,100
BAMS,2 years experience,,"Paschim Vihar, Delhi",Ayurveda,,250
"MBBS, MS - ENT, Fellow of Academy of General Education (FAGE)",13 years experience,,"Kaggadasapura, Bangalore",ENT Specialist,,350
"MBBS, MS - ENT",17 years experience,93%,"Pitampura, Delhi",ENT Specialist,,700
"MBBS, Diploma in Dermatology, DNB - Dermatology & Venereology",28 years experience,80%,"Kilpauk, Chennai",Dermatologists,"80% 11 Feedback Kilpauk, Chennai",600
BAMS,5 years experience,,"Bellandur, Bangalore",Ayurveda,,200
"MBBS, Post Graduate Diploma in Diabetology (PGDD), Fellowship in Diabetology",19 years experience,96%,"Dahisar East, Mumbai",General Medicine,"96% 3 Feedback Dahisar East, Mumbai",500
"BAMS, MD - Ayurveda Medicine",12 years experience,91%,"Sion West, Mumbai",Ayurveda,"91% 23 Feedback Sion West, Mumbai",600
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology",20 years experience,98%,"Vileparle West, Mumbai",ENT Specialist,Nasal Endoscopy Hearing Aid Fitting Skull Base Surgery,100
MBBS,34 years experience,,"Karol Bagh, Delhi",General Medicine,,400
BHMS,14 years experience,,"Vasant Kunj, Delhi",Homeopath,,500
"BDS, MDS, Certificate in Dental Implants",17 years experience,97%,"Panampilly Nagar, Ernakulam",Dentist,Advanced implant dentistry Minimum invasive aesthetic dentistry Laser assisted dentistry,200
"MBBS, Diploma in Otorhinolaryngology (DLO), FRCS",25 years experience,,"Kilpauk, Chennai",ENT Specialist,,100
"MBBS, MD - General Medicine",14 years experience,95%,"Powai, Mumbai",General Medicine,"95% 42 Feedback Powai, Mumbai",100
DHMS (Diploma in Homeopathic Medicine and Surgery),42 years experience,,"Safdarjung Enclave, Delhi",Homeopath,,500
"BDS, MDS",6 years experience,,"Rajouri Garden, Delhi",Dentist,Dental Fillings Dental Implant Fixing General Dentistry,500
"MD - Dermatology , Venereology & Leprosy, MBBS, DNB - Dermatology & Venereology",6 years experience,100%,"Ashok Vihar Phase 3, Delhi",Dermatologists,"100% 15 Feedback Ashok Vihar Phase 3, Delhi",600
"MBBS, MD - Dermatology",13 years experience,,"Nampally, Hyderabad",Dermatologists,,400
"MBBS, Diploma in Otorhinolaryngology (DLO)",15 years experience,82%,"Siddapura, Bangalore",ENT Specialist,,350
"MD - Ayurveda Medicine, BAMS",9 years experience,97%,"Vileparle East, Mumbai",Ayurveda,"97% 88 Feedback Vileparle East, Mumbai",500
"MBBS, DDVL, DNB - Dermatology, Venereology & Leprosy",10 years experience,99%,"Jubilee Hills, Hyderabad",Dermatologists,"99% 17 Feedback Jubilee Hills, Hyderabad",500
"MBBS, MD - Internal Medicine",24 years experience,,"Panchsheel Park, Delhi",General Medicine,Diabetes Nutritionist Clinical Physiotherapy,100
BHMS,18 years experience,100%,"Wadala, Mumbai",Homeopath,"100% 10 Feedback Wadala, Mumbai",100
"MBBS, Diploma in Otorhinolaryngology (DLO)",18 years experience,60%,"Indiranagar, Bangalore",ENT Specialist,"60% 2 Feedback Indiranagar, Bangalore",250
BAMS,16 years experience,96%,"Punjagutta, Hyderabad",Ayurveda,"96% 118 Feedback Punjagutta, Hyderabad",500
"BDS, MDS - Paedodontics And Preventive Dentistry",9 years experience,99%,"Greater Kailash, Delhi",Dentist,RCT - Root Canal Treatment Cosmetic/ Aesthetic Dentistry Dental Checkup (General),500
BHMS,12 years experience,,"Indiranagar, Bangalore",Homeopath,,250
BDS,9 years experience,99%,"Gandhipuram, Coimbatore",Dentist,"99% 141 Feedback Gandhipuram, Coimbatore",150
"MBBS, MS - ENT, DNB - ENT",18 years experience,94%,"Manapakkam, Chennai",ENT Specialist,Head and Neck Surgeon Cochlear Implants Skull Base Surgery,500
"MBBS, DNB",34 years experience,100%,"Jayanagar 9 Block, Bangalore",General Medicine,"100% 3 Feedback Jayanagar 9 Block, Bangalore",300
"MPH, BDS",8 years experience,,"Habsiguda, Hyderabad",Dentist,Scaling / Polishing Dental Examinations Orthotic Splints,300
"MBBS, MD - Dermatology , Venereology & Leprosy",7 years experience,97%,"Neredmet, Hyderabad",Dermatologists,"97% 19 Feedback Neredmet, Hyderabad",300
"BDS, MDS",9 years experience,98%,"Bandra West, Mumbai",Dentist,Crowns and Bridges Fixing Acrylic Partial Denture Tooth Extraction,100
"MBBS, MD - Dermatology",17 years experience,,"Nallakunta, Hyderabad",Dermatologists,,400
"MBBS, CCEDM",42 years experience,,"Saibaba Colony, Coimbatore",General Medicine,,100
MBBS,48 years experience,,"Goregaon West, Mumbai",General Medicine,,100
"MBBS, MD - Dermatology , Venereology & Leprosy",37 years experience,,"Sarita Vihar, Delhi",Dermatologists,,100
"MBBS, MD - General Medicine",17 years experience,,"Nizampet, Hyderabad",General Medicine,,300
MD - Ayurveda Medicine,35 years experience,,"Marathahalli, Bangalore",Ayurveda,,30
"MD - Physician, CCEBDM",15 years experience,100%,"Lajpat Nagar 4, Delhi",General Medicine,Diabetes Management Emergency Care Health Checkup (General),100
"DDV, MBBS",32 years experience,92%,"Banashankari 1st Stage, Bangalore",Dermatologists,"92% 3 Feedback Banashankari 1st Stage, Bangalore",350
"BDS, MDS - Pedodontics",11 years experience,,"Vellakinar, Coimbatore",Dentist,,150
"MBBS, MS - ENT, DNB - ENT",23 years experience,91%,"Pitampura, Delhi",ENT Specialist,Tympanoplasty Stapedectomies Mastoidectomy,100
"BHMS, MD - Homeopathy",13 years experience,100%,"Borivali East, Mumbai",Homeopath,Kidney Stone Treatment Allergy Treatment Treatment Of Erectile Dysfunction,500
"DDVL, MBBS, DNB - Dermatology & Venereology, FAGE",12 years experience,96%,"Lingampally, Hyderabad",Dermatologists,"96% 17 Feedback Lingampally, Hyderabad",650
"BDS, MDS - Oral & Maxillofacial Surgery",21 years experience,92%,"Vijayanagar, Bangalore",Dentist,Wedding Smile Planner Oral Prophylaxis Oral Rehabilitation,150
"BDS, MDS - Periodontics",18 years experience,,"Egmore, Chennai",Dentist,Dental Checkup (General) Gum Disease Treatment/ Surgery Preparation for Dentures,300
"BDS, MDS",10 years experience,,"Ramanathapuram, Coimbatore",Dentist,,150
"MDS - Prosthodontics, BDS, Fellowship and Diplomate in Implantology from ICOI (USA)",7 years experience,100%,"JP Nagar 3 Phase, Bangalore",Dentist,Dental Examinations Tooth Extraction Surgical Tooth Extraction,200
"MBBS, MS - Otorhinolaryngology",24 years experience,,"Patparganj, Delhi",ENT Specialist,Nasofriboscopia Nasofibrolaryngoscopy Fracture Nasal Bone Correction,700
"BAMS, Post Graduate Diploma in Holistic Healthcare",17 years experience,96%,"Banjara Hills, Hyderabad",Ayurveda,"96% 12 Feedback Banjara Hills, Hyderabad",350
"BDS, Fellowship in Oral implantlogy",7 years experience,98%,"Mehdipatnam, Hyderabad",Dentist,Dental Implant Fixing Complete/Partial Dentures Fixing Artificial Teeth,200
BAMS,12 years experience,,"Katwaria Sarai, Delhi",Ayurveda,,100
"Graduate Diploma in Family Medicine, Singapore, MBBS",26 years experience,98%,"HSR Layout, Bangalore",General Medicine,"98% 154 Feedback HSR Layout, Bangalore",300
"MBBS, DDVL",6 years experience,,"East Marredpally, Hyderabad",Dermatologists,,300
"MBBS, MS - ENT",26 years experience,,"Peeragarhi, Delhi",ENT Specialist,Reconstructive Middle Ear Surgery Congenital Ear Problem Treatment Microsurgery of the Larynx,400
BDS,7 years experience,,"BTM Layout 2nd Stage, Bangalore",Dentist,Dental Fillings Dental Implant Fixing General Dentistry,100
"MBBS, DDV, FCPS - Dermatology, Venereology & Leprosy, DNB - Dermatology & Venereology",14 years experience,96%,"Kandivali West, Mumbai",Dermatologists,"96% 4 Feedback Kandivali West, Mumbai",500
"MBBS, MRCP (UK), DVD, DNB - Dermatology & Venereology",23 years experience,96%,"Santacruz West, Mumbai",Dermatologists,"96% 4 Feedback Santacruz West, Mumbai",100
MBBS,17 years experience,,"Mira Road, Mumbai",General Medicine,,100
"MRCPCH (UK), MBBS",19 years experience,7%,"Pragathi Nagar, Hyderabad",General Medicine,"7% 11 Feedback Pragathi Nagar, Hyderabad",100
"MBBS, MD - Dermatology , Venereology & Leprosy",11 years experience,99%,"Sarjapur Road, Bangalore",Dermatologists,"99% 343 Feedback Sarjapur Road, Bangalore",400
"MBBS, MS - Otorhinolaryngology",27 years experience,,"Mahim, Mumbai",ENT Specialist,Hearing Deficiency Assessment Congenital Ear Problem Treatment Tonsillitis Treatment,800
"MBBS, MD - Dermatology",9 years experience,100%,"Navalur, Chennai",Dermatologists,Permanent Acne Solutions Wrinkle Treatment Skin Boosters and Fillers,400
BDS,5 years experience,100%,"Mira Road, Mumbai",Dentist,Dental Examinations Dental Fillings Dental prophylaxis,100
"MBBS, DDVL",13 years experience,97%,"Marathahalli, Bangalore",Dermatologists,"97% 192 Feedback Marathahalli, Bangalore",400
MBBS,38 years experience,,"Old Rajendra Nagar, Delhi",General Medicine,,100
"BHMS, MD - Homeopathy",27 years experience,95%,"Malviya Nagar, Delhi",Homeopath,"95% 16 Feedback Malviya Nagar, Delhi",100
BHMS,7 years experience,97%,"LB Nagar, Hyderabad",Homeopath,"97% 14 Feedback LB Nagar, Hyderabad",200
"MBBS, MD - General Medicine",35 years experience,,"Ashok Vihar Phase 1, Delhi",General Medicine,,600
BHMS,21 years experience,98%,"New Rajendra Nagar, Delhi",Homeopath,"98% 38 Feedback New Rajendra Nagar, Delhi",700
BDS,24 years experience,100%,"CR Park, Delhi",Dentist,Conservative Dentistry Dental Fillings Gum Disease Treatment/ Surgery,500
BHMS,19 years experience,,"Nizampet, Hyderabad",Homeopath,,200
BDS,15 years experience,97%,"Rajakilpakkam, Chennai",Dentist,"97% 4 Feedback Rajakilpakkam, Chennai",100
"MBBS, DLO, MS - ENT",39 years experience,,"Kakkanad, Ernakulam",ENT Specialist,,200
MBBS,30 years experience,,"Borivali West, Mumbai",General Medicine,,150
BAMS,7 years experience,,"Hari Nagar, Delhi",Ayurveda,,100
MBBS,41 years experience,,"Tripunithura, Ernakulam",General Medicine,,80
BHMS,8 years experience,,"Mehrauli, Delhi",Homeopath,,300
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",49 years experience,,"Ramnagar, Coimbatore",General Medicine,,100
BAMS,8 years experience,,"HBR Layout, Bangalore",Ayurveda,Panchakarma Chest Pain Treatment Migraine Treatment,100
"MBBS, DDVL",13 years experience,,"Nungambakkam, Chennai",Dermatologists,,500
"MS - Otorhinolaryngology, MBBS",5 years experience,100%,"Borivali West, Mumbai",ENT Specialist,"100% 45 Feedback Borivali West, Mumbai",500
"MBBS, Diploma in Medical Radio-Diagnosis",9 years experience,,"Viveknagar, Bangalore",General Medicine,,300
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",12 years experience,,"Shivaji Nagar, Bangalore",ENT Specialist,,100
BDS,4 years experience,100%,"Marathahalli, Bangalore",Dentist,Dental prophylaxis Dental Restoration Tooth Extraction,200
"MBBS, Diploma in Dermatology, Fellowship in Aesthetic Medicine",24 years experience,97%,"Karkardooma, Delhi",Dermatologists,"97% 152 Feedback Karkardooma, Delhi",600
"MBBS, D.Ortho Fellow Arthroscopy & Arthroplasty(AUST), DNB - Orthopedics/Orthopedic Surgery",32 years experience,,"Kilpauk, Chennai",General Medicine,,100
MBBS,28 years experience,,"Kumara Park West, Bangalore",General Medicine,,300
"MD - Dermatology, MBBS",7 years experience,100%,"Lingampally, Hyderabad",Dermatologists,"100% 10 Feedback Lingampally, Hyderabad",650
"MBBS, MD - General Medicine",13 years experience,100%,"Langer House, Hyderabad",General Medicine,"100% 7 Feedback Langer House, Hyderabad",250
DHMS (Diploma in Homeopathic Medicine and Surgery),22 years experience,,"Kandivali West, Mumbai",Homeopath,,100
"MD - Dermatology, MBBS, DNB - Dermatology, Venereology & Leprosy, MNAMS - DERMATOLOGY",13 years experience,100%,"Subhash Nagar, Delhi",Dermatologists,"100% 14 Feedback Subhash Nagar, Delhi",700
"MBBS, Post Graduate Course in Diabetology, Fellowship in Diabetology",17 years experience,,"Kalyan Nagar, Bangalore",General Medicine,,400
